modified,"Work/
Munkanem","Work/
Munkanem","Position/
tétel",Description,Leírás," Quantity/
mennyiség ","Unit/
egység","Quantity modification from GC 
(if needed +/- )","Materila unit price/
anyag egység ár HUF","Unit worker fees/
munka díj    egység ár   HUF","Unit price sum/
összes egység ár   HUF","Sum/
Összesen
HUF",,,,,,,
,300,323,21,LG.03,LG.03, 105.00    ,fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,48
,,,,Precast duct top panel,Előregyártott akna fedlap,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,49
,300,323,22,F.01,F.01 aknafedlap, 7.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,50
x,300,323,23,F.02,F.02 aknafedlap, 62.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,51
x,300,323,24,F.03,F.03 aknafedlap, 10.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,52
x,300,323,25,40×40-33/33 'walking grid,40×4-33-33 járórács, 85.00    ,m2,,0,0,0,0,,HAMIS,,,,,
x,300,323,26,grid steel support,Járórács acél tartószerkezete, 7.20    ,t,,0,0,0,0,,HAMIS,,,,,
,300,323,27,Precast concrete dock pit,Előregyártott vb. dokkoló, 8.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,53
,300,323,,Block foundation - sub-base concrete  total,Tömb alapozások helyszíni beton és vasbeton munkák,,,,,,,0,,IGAZ,IGAZ,HAMIS,!!!,,54
,300,324,,Subsoil and base slabs (industrial floors)," Alaplemezek, ipari padló",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,55
,300,324,1,"CiS  stairs +  channel + ramp (C30/37) with reinforcement, formwork","Mon. vb lépcső+csatorna+rámpa  (C30/37-XC2-16-F3) vasalással, zsaluzással"," 1,280.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,56
,300,324,3,"30 cm in-situ gr. Slab with reinforcement, formwork","30 cm mon. vb. Padló  C30/37-XC2-16-F3 vasalással, zsaluzással"," 2,150.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,57
,300,324,4,"25 cm in-situ gr. Slab with reinforcement, formwork",25 cm mon. vb. Padló  C30/37-XC2-16-F3 vasalással zsaluzással," 5,950.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,58
,300,324,5,"Slab on Grade (all layers) - Office building with reinforcement, formwork","Irodarész alaplemeze 20 cm  C30/37-XC2-16-F3 vasalással, zsaluzással", 320.00    ,m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,59
,300,324,6,10 cm lean concrete C8/10-X0-24-F2,10 cm szerelőbeton C8/10-X0-24-F2," 3,530.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,60
,300,324,,Subsoil and base slabs (industrial floors) total," Alaplemezek, ipari padló összesen",,,,,,,0,,IGAZ,IGAZ,HAMIS,!!!,,61
,300,"330
340
350
361",,Superstructure,Szerkezetépítési munkák ,,,,,,,0,,IGAZ,IGAZ,HAMIS,!!!,,62
,,,,Note,Megjegyzés:,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,63
,300,"330
340",,External-internal loadbearing walls,Külső - belső teherhordó falazatok szerkezetek,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,64
,,,,Structual works / reinforced concrete on site,Szerkezetépítés / helyszíni beton és vasbeton munkák,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,65
,,,,"Visible concrete surfaces to be performed according to following requirements:
- All visible surfaces class SB2
- All others class SB1
DBV Merkblatt Sichtbeton Fassung 2004","beton felületek kialakítása alábbi követelmények szerint:
- látszóbeton: SB2
- egyéb betonfelületek: SB1
DBV Merkblatt Sichtbeton Fassung 2004",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,66
,300,333,1," In-situ columns  with reinforcement, formwork complet C30/37","Monolit vb pillér vasalással, zsaluzással kompletten C30/37 betonból", 9.00    ,m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,67
,300,343,2," In-situ walls  with reinforcement, formwork complet C30/38","Monolit vb falak vasalással, zsaluzással kompletten C30/37 betonból"," 1,864.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,68
,,,," Manufacturing, transport, placement and installation of prefabricated building elements","Előregyártott épületszerkezeti elemek gyártása, helyszínre szállítása, elhelyezése és szerelése",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,69
x,,,,"Precast columns  C40/50 (galvanized Edge protection with L80×80×6 section between floor slab and +2m level, incl. inserted earthing acc. to el. design, no welding accepted!)","Előregyártott Pillérek  C40/50 (L80×80×6 horganyzott élvédőkkel padló felett 2m magasságig, el. tervek szerinti beépített földelő levezetővel, hegesztett kapcsolat nem megengedett!)",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,70
,300,333-43,3,"I./P1 ; 19,35 t/pcs","I./P1 jelű 19,35 t/db", 38.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,71
,300,333-43,4,"I./P2 ; 11,95 t/pcs","I./P2 jelű 11,95 t/db", 7.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,72
,300,333-43,5,"I./P3 ; 19,35 t/pcs","I./P3 jelű 19,35 t/db", 12.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,73
,300,333-43,6,"I./P4 ; 19,35 t/pcs","I./P4 jelű 19,35 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,74
,300,333-43,7,"I./P5 ; 19,35 t/pcs","I./P5 jelű 19,35 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,75
,300,333-43,8,I./P6 ; 20 t/pcs,I./P6 jelű 20 t/db, 2.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,76
,300,333-43,9,"I./P7 ; 19,35 t/pcs","I./P7 jelű 19,35 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,77
,300,333-43,10,"I./P8 ; 19,35 t/pcs","I./P8 jelű 19,35 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,78
,300,333-43,11,"I./P9 ; 19,35 t/pcs","I./P9 jelű 19,35 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,79
,300,333-43,12,"II./P1 ; 8,73 t/pcs","II./P1 jelű 8,73 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,80
,300,333-43,13,"II./P2 ; 12,22 t/pcs","II./P2 jelű 12,22 t/db", 9.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,81
,300,333-43,14,"II./P3 ; 8,73 t/pcs","II./P3 jelű 8,73 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,82
,300,333-43,15,"II./P4 ; 8,73 t/pcs","II./P4 jelű 8,73 t/db", 2.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,83
,300,333-43,16,"II./P5 ; 12,22 t/pcs","II./P5 jelű 12,22 t/db", 19.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,84
,300,333-43,17,"II./P6 ; 8,73 t/pcs","II./P6 jelű 8,73 t/db", 2.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,85
,300,333-43,18,"II./P7 ; 8,73 t/pcs","II./P7 jelű 8,73 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,86
,300,333-43,19,"II./P8 ; 12,22 t/pcs","II./P8 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,87
,300,333-43,20,"II./P9 ; 12,22 t/pcs","II./P9 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,88
,300,333-43,21,"II./P10 ; 12,22 t/pcs","II./P10 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,89
,300,333-43,22,"II./P11 ; 12,22 t/pcs","II./P11 jelű 12,22 t/db", 6.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,90
,300,333-43,23,"II./P12 ; 8,73 t/pcs","II./P12 jelű 8,73 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,91
,300,333-43,24,"II./P13 ; 12,22 t/pcs","II./P13 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,92
,300,333-43,25,"II./P14 ; 12,22 t/pcs","II./P14 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,93
,300,333-43,26,"III./P.1 ; 12,22 t/pcs","III./P.1 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,94
,300,333-43,27,"III./P.2 ; 12,22 t/pcs","III./P.2 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,95
,300,333-43,28,"III./P.3 ; 12,22 t/pcs","III./P.3 jelű 12,22 t/db", 5.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,96
,300,333-43,29,"III./P.4 ; 12,22 t/pcs","III./P.4 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,97
,300,333-43,30,"III./P.5 ; 12,22 t/pcs","III./P.5 jelű 12,22 t/db", 3.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,98
,300,333-43,31,"III./P.6 ; 12,22 t/pcs","III./P.6 jelű 12,22 t/db", 18.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,99
,300,333-43,32,"III./P.7 ; 12,22 t/pcs","III./P.7 jelű 12,22 t/db", 3.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,100
,300,333-43,33,"III./P.8 ; 12,22 t/pcs","III./P.8 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,101
,300,333-43,34,"III./P.9 ; 12,22 t/pcs","III./P.9 jelű 12,22 t/db", 6.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,102
,300,333-43,35,"III./P.10 ; 12,22 t/pcs","III./P.10 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,103
,300,333-43,36,"III./P.11 ; 8,73 t/pcs","III./P.11 jelű 8,73 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,104
,300,333-43,37,"III./P.12 ; 8,73 t/pcs","III./P.12 jelű 8,73 t/db", 3.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,105
,300,333-43,38,"III./P.13 ; 12,22 t/pcs","III./P.13 jelű 12,22 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,106
,300,333-43,39,"IV./P.1 ; 19,21 t/pcs","IV./P.1 jelű 19,21 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,107
,300,333-43,40,"IV./P.2 ; 19,21 t/pcs","IV./P.2 jelű 19,21 t/db", 4.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,108
,300,333-43,41,"IV./P.3 ; 19,25 t/pcs","IV./P.3 jelű 19,25 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,109
,300,333-43,42,"IV./P.4 ; 19,29 t/pcs","IV./P.4 jelű 19,29 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,110
,300,333-43,43,"IV./P.5 ; 19,29 t/pcs","IV./P.5 jelű 19,29 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,111
,300,333-43,44,"IV./P.6 ; 19,92 t/pcs","IV./P.6 jelű 19,92 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,112
,300,333-43,45,"IV./P.7 ; 19,92 t/pcs","IV./P.7 jelű 19,92 t/db", 4.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,113
,300,333-43,46,"IV./P.8 ; 19,92 t/pcs","IV./P.8 jelű 19,92 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,114
,300,333-43,47,"IV./P.9 ; 19,92 t/pcs","IV./P.9 jelű 19,92 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,115
,300,333-43,48,"IV./P.10 ; 19,92 t/pcs","IV./P.10 jelű 19,92 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,116
,300,333-43,49,"V./P.1 ; 4,05 t/pcs","V./P.1 jelű 4,05 t/db", 15.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,117
,300,333-43,50,"V./P.2 ; 3,73 t/pcs","V./P.2 jelű 3,73 t/db", 2.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,118
,300,333-43,51,"V./P.3 ; 4,05 t/pcs","V./P.3 jelű 4,05 t/db", 17.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,119
,300,333-43,52,"V./P.4 ; 1,88 t/pcs","V./P.4 jelű 1,88 t/db", 10.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,120
,300,333-43,53,"V./P.5 ; 2,28 t/pcs","V./P.5 jelű 2,28 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,121
,300,333-43,54,"V./P.6 ; 3,98 t/pcs","V./P.6 jelű 3,98 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,122
,300,333-43,55,"V./P.7 ; 2,35 t/pcs","V./P.7 jelű 2,35 t/db", 2.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,123
,300,333-43,56,"V./P.8 ; 2,43 t/pcs","V./P.8 jelű 2,43 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,124
,,,,Metal  building structures ,Acél tartószerkezetek,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,125
,300,333-43,57,Steel structure of wall frames,Falvázoszlopok acélszerkezete, 121.00    ,t,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,126
,300,333-43,59,Facade Auxilliary Steel structure - for openings,Acél homlokzati kiegészítő szerkezetek nyíláskiváltásokhoz, 22.60    ,t,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,127
,300,333-43,60,Facade Auxilliary Steel structure - for Glazed wall,Acél homlokzati kiegészítő szerkezetek üvegfelületekhez, 2.07    ,t,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,128
,300,333-43,61,Steel structure of elevator,Teherlift acél tartószerkezete, 4.50    ,t,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,129
,300,333-43,62,Steel structure of fire curtain walls,Füstkötényfal tartószerkezete, 22.00    ,t,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,130
,300,333-43,62,Steel structure of gate buliding,Porta acél tartószerkezete, 6.20    ,t,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,131
,300,332,,External-internal loadbearing walls total,Külső - belső teherhordó falazatok szerkezetek összesen,,,,,,,0,,IGAZ,IGAZ,HAMIS,!!!,,132
,300,"350
360",, Ceilings  and roof stuctures,Födém és tetőszerkezetek,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,133
,,,,Structual works / reinforced concrete on site,Szerkezetépítés / helyszíni beton és vasbeton munkák,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,134
,,,,"concrete surfaces to be performed according to following requirements:
- All visible surfaces class SB2
- All others class SB1
DBV Merkblatt Sichtbeton Fassung 2004","beton felületek kialakítása alábbi követelmények szerint:
- látszóbeton: SB2
- egyéb betonfelületek: SB1
DBV Merkblatt Sichtbeton Fassung 2004",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,135
,300,351,1,"In-situ slab with reinforcement, formwork complet  C30/37",Monolit vb. födém vasalással zsaluzással C30/37 betonból, 511.00    ,m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,136
,300,351,2,"In-situ beam with einforcement, formwork C30/37","Monolit vb. gerenda  vasalással, zsaluzással C30/37 betonból", 113.00    ,m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,137
,300,351,3,"Reinforced concrete tie beam witheinforcement, formworknt 30/37","Monolit vb. koszoru  vasalással, zsaluzással C30/37 betonból", 1.70    ,m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,138
,300,351,4,"In-situ stairs with einforcement, formwork C30/37",Monolit vb. lépcső  vasalással zsaluzással C30/37 betonból, 18.00    ,m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,139
,,,," Manufacturing, transport, placement and installation of prefabricated building elements","Előregyártott épületszerkezeti elemek gyártása, helyszínre szállítása, elhelyezése és szerelése",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,140
x,,,,Precast main girder  C40/50 (on average with 3 openings for M&E in web ),Előregyártott főtartók (Gerincben átlagosan 3 áttörés),,,,,,,,,IGAZ,IGAZ,IGAZ,0,,141
,300,361,1,"I./FT.1 ; 4,19 t/pcs","I./FT.1 jelű 4,19 t/db", 2.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,142
,300,361,2,"I./FT.2 ; 8,1 t/pcs","I./FT.2 jelű 8,1 t/db", 52.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,143
,300,361,3,"I./FT.3 ; 8,38 t/pcs","I./FT.3 jelű 8,38 t/db", 4.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,144
,300,361,4,"II./FT.1 ; 8,84 t/pcs","II./FT.1 jelű 8,84 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,145
,300,361,5,"II./FT.2 ; 8,65 t/pcs","II./FT.2 jelű 8,65 t/db", 8.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,146
,300,361,6,"II./FT.3 ; 8,84 t/pcs","II./FT.3 jelű 8,84 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,147
,300,361,7,"II./FT.4 ; 8,84 t/pcs","II./FT.4 jelű 8,84 t/db", 2.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,148
,300,361,8,"II./FT.5 ; 8,65 t/pcs","II./FT.5 jelű 8,65 t/db", 18.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,149
